date_county,Daily Max 1-hour NO2 Concentration,DAILY_AQI_VALUE
"09/30/2017, Cuyahoga",9,8
"10/01/2017, Cuyahoga",5,5
"10/02/2017, Cuyahoga",19,18
"10/03/2017, Cuyahoga",23,22
"10/04/2017, Cuyahoga",16,15
"10/05/2017, Cuyahoga",28,26
"10/06/2017, Cuyahoga",20,19
"10/07/2017, Cuyahoga",9,8
"10/08/2017, Cuyahoga",7,7
"10/09/2017, Cuyahoga",19,18
"10/10/2017, Cuyahoga",20,19
"10/11/2017, Cuyahoga",6,6
"10/12/2017, Cuyahoga",12,11
"10/13/2017, Cuyahoga",17,16
"10/14/2017, Cuyahoga",17,16
"10/15/2017, Cuyahoga",5,5
"10/16/2017, Cuyahoga",14,13
"10/18/2017, Cuyahoga",32,30
"10/19/2017, Cuyahoga",29,27
"10/20/2017, Cuyahoga",26,25
"10/21/2017, Cuyahoga",29,27
"10/22/2017, Cuyahoga",14,13
"10/23/2017, Cuyahoga",9,8
"10/24/2017, Cuyahoga",11,10
"10/25/2017, Cuyahoga",27,25
"10/26/2017, Cuyahoga",30,28
"10/27/2017, Cuyahoga",14,13
"10/28/2017, Cuyahoga",11,10
"10/29/2017, Cuyahoga",14,13
"10/30/2017, Cuyahoga",17,16
"10/31/2017, Cuyahoga",18,17
"11/01/2017, Cuyahoga",16,15
"11/02/2017, Cuyahoga",11,10
"11/03/2017, Cuyahoga",12,11
"11/04/2017, Cuyahoga",7,7
"11/05/2017, Cuyahoga",14,13
"11/06/2017, Cuyahoga",13,12
"11/09/2017, Cuyahoga",31,29
"11/10/2017, Cuyahoga",12,11
"11/11/2017, Cuyahoga",23,22
"11/12/2017, Cuyahoga",29,27
"11/13/2017, Cuyahoga",24,23
"11/14/2017, Cuyahoga",29,27
"11/15/2017, Cuyahoga",16,15
"11/16/2017, Cuyahoga",13,12
"11/17/2017, Cuyahoga",24,23
"11/18/2017, Cuyahoga",9,8
"11/19/2017, Cuyahoga",7,7
"11/20/2017, Cuyahoga",15,14
"11/21/2017, Cuyahoga",23,22
"11/22/2017, Cuyahoga",17,16
"11/23/2017, Cuyahoga",12,11
"11/24/2017, Cuyahoga",21,20
"11/25/2017, Cuyahoga",9,8
"11/26/2017, Cuyahoga",16,15
"11/27/2017, Cuyahoga",27,25
"11/28/2017, Cuyahoga",13,12
"11/29/2017, Cuyahoga",23,22
"11/30/2017, Cuyahoga",25,24
"12/01/2017, Cuyahoga",31,29
"12/02/2017, Cuyahoga",30,28
"12/03/2017, Cuyahoga",32,30
"12/04/2017, Cuyahoga",24,23
"12/05/2017, Cuyahoga",16,15
"12/06/2017, Cuyahoga",12,11
"12/07/2017, Cuyahoga",22,21
"12/08/2017, Cuyahoga",16,15
"12/09/2017, Cuyahoga",22,21
"12/10/2017, Cuyahoga",13,12
"12/11/2017, Cuyahoga",23,22
"12/12/2017, Cuyahoga",21,20
"12/13/2017, Cuyahoga",22,21
"12/14/2017, Cuyahoga",34,32
"12/15/2017, Cuyahoga",38,36
"12/16/2017, Cuyahoga",27,25
"12/17/2017, Cuyahoga",23,22
"12/18/2017, Cuyahoga",23,22
"12/19/2017, Cuyahoga",13,12
"12/20/2017, Cuyahoga",26,25
