date_sitename,co_max,co_aqi_val,no2_max,no2_aqi_val,ozone_max,ozone_aqi_val,pm10_mean,pm10_aqi_val,pm2.5_mean,pm2.5_aqi_val,so2_max,so2_aqi_val
"01/17/2017, GT Craig NCore",0.5,6.0,24.0,23.0,0.02,19.0,12.0,11.0,11.0,46.0,1.0,1.0
"01/17/2017, GT Craig NCore",0.5,6.0,24.0,23.0,0.02,19.0,12.0,11.0,11.0,46.0,0.5,0.0
"01/17/2017, Galleria",0.0,0.0,,,,,,,,,,
"01/17/2017, Harvard Yards",,,,,,,,,,,0.0,0.0
"01/17/2017, Mentor",0.5,6.0,,,,,,,,,,
"01/17/2017, Painesville",,,,,,,,,6.2,26.0,1.0,1.0
"01/17/2017, St Theodosius",,,,,,,24.0,22.0,,,0.0,0.0
"01/18/2017, Barr School",,,,,,,,,1.4,6.0,,
"01/18/2017, Chippewa",,,,,,,,,2.3,10.0,,
"01/18/2017, Cleveland Fire St13",,,,,,,,,,,0.0,0.0
"01/18/2017, Cleveland Near Road",0.4,5.0,17.0,16.0,,,,,,,,
"01/18/2017, Eastlake",,,,,,,,,,,2.0,3.0
"01/18/2017, GT Craig NCore",0.3,3.0,14.0,13.0,0.02,19.0,5.0,5.0,4.0,17.0,0.0,0.0
"01/18/2017, GT Craig NCore",0.3,3.0,14.0,13.0,0.02,19.0,5.0,5.0,4.0,17.0,0.1,0.0
"01/18/2017, Galleria",0.4,5.0,,,,,,,,,,
"01/18/2017, Harvard Yards",,,,,,,,,,,0.0,0.0
"01/18/2017, Mentor",0.3,3.0,,,,,,,,,,
"01/18/2017, Painesville",,,,,,,,,4.1,17.0,1.0,1.0
"01/18/2017, St Theodosius",,,,,,,9.0,8.0,,,0.0,0.0
"01/19/2017, Barr School",,,,,,,8.0,7.0,6.8,28.0,,
"01/19/2017, Barr School",,,,,,,8.0,7.0,8.3,35.0,,
"01/19/2017, Barr School",,,,,,,8.0,7.0,1.7,7.0,,
"01/19/2017, Brookpark",,,,,,,11.0,10.0,8.0,33.0,,
"01/19/2017, Chippewa",,,,,,,,,8.6,36.0,,
"01/19/2017, Chippewa",,,,,,,,,6.1,25.0,,
"01/19/2017, Cleveland Fire St13",,,,,,,13.0,12.0,7.8,33.0,0.0,0.0
"01/19/2017, Cleveland Fire St13",,,,,,,13.0,12.0,7.8,33.0,0.0,0.0
"01/19/2017, Cleveland Near Road",0.2,2.0,17.0,16.0,,,,,,,,
"01/19/2017, District 6",,,,,,,,,8.6,36.0,,
"01/19/2017, Eastlake",,,,,,,,,,,2.0,3.0
"01/19/2017, FAIRPORT HIGH SCHOOL",,,,,,,9.0,8.0,,,,
"01/19/2017, GT Craig NCore",0.3,3.0,23.0,22.0,0.016,15.0,21.0,19.0,8.7,36.0,0.0,0.0
"01/19/2017, GT Craig NCore",0.3,3.0,23.0,22.0,0.016,15.0,21.0,19.0,8.7,36.0,0.3,0.0
"01/19/2017, GT Craig NCore",0.3,3.0,23.0,22.0,0.016,15.0,21.0,19.0,8.1,34.0,0.0,0.0
"01/19/2017, GT Craig NCore",0.3,3.0,23.0,22.0,0.016,15.0,21.0,19.0,8.1,34.0,0.3,0.0
"01/19/2017, GT Craig NCore",0.3,3.0,23.0,22.0,0.016,15.0,11.0,10.0,8.7,36.0,0.0,0.0
"01/19/2017, GT Craig NCore",0.3,3.0,23.0,22.0,0.016,15.0,11.0,10.0,8.7,36.0,0.3,0.0
"01/19/2017, GT Craig NCore",0.3,3.0,23.0,22.0,0.016,15.0,11.0,10.0,8.1,34.0,0.0,0.0
"01/19/2017, GT Craig NCore",0.3,3.0,23.0,22.0,0.016,15.0,11.0,10.0,8.1,34.0,0.3,0.0
"01/19/2017, Galleria",0.5,6.0,,,,,,,,,,
"01/19/2017, Harvard Yards",,,,,,,16.0,15.0,8.2,34.0,0.0,0.0
"01/19/2017, Mentor",0.4,5.0,,,,,,,,,,
"01/19/2017, Painesville",,,,,,,,,8.0,33.0,1.0,1.0
"01/19/2017, Painesville",,,,,,,,,7.9,33.0,1.0,1.0
"01/19/2017, Painesville",,,,,,,,,3.6,15.0,1.0,1.0
"01/19/2017, St Theodosius",,,,,,,15.0,14.0,8.6,36.0,0.0,0.0
"01/19/2017, St Theodosius",,,,,,,15.0,14.0,8.5,35.0,0.0,0.0
"01/20/2017, Barr School",,,,,,,,,3.9,16.0,,
"01/20/2017, Chippewa",,,,,,,,,6.2,26.0,,
"01/20/2017, Cleveland Fire St13",,,,,,,,,,,0.0,0.0
"01/20/2017, Cleveland Near Road",0.4,5.0,21.0,20.0,,,,,,,,
"01/20/2017, Eastlake",,,,,,,,,,,3.0,4.0
"01/20/2017, GT Craig NCore",0.5,6.0,22.0,21.0,0.006,6.0,13.0,12.0,10.6,44.0,1.0,1.0
"01/20/2017, GT Craig NCore",0.5,6.0,22.0,21.0,0.006,6.0,13.0,12.0,10.6,44.0,0.9,0.0
"01/20/2017, Galleria",0.5,6.0,,,,,,,,,,
