date_county,Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE
"01/20/2017, Cuyahoga",10.6,44
"01/21/2017, Cuyahoga",12.2,51
"01/22/2017, Cuyahoga",9.2,38
"01/23/2017, Cuyahoga",10.5,44
"01/24/2017, Cuyahoga",8.4,35
"01/25/2017, Cuyahoga",7.8,33
"01/26/2017, Cuyahoga",2.8,12
"01/27/2017, Cuyahoga",5.0,21
"01/28/2017, Cuyahoga",8.9,37
"01/29/2017, Cuyahoga",6.0,25
"01/30/2017, Cuyahoga",2.4,10
"01/31/2017, Cuyahoga",9.1,38
"02/01/2017, Cuyahoga",5.2,22
"02/02/2017, Cuyahoga",5.0,21
"02/03/2017, Cuyahoga",7.1,30
"02/04/2017, Cuyahoga",3.4,14
"02/05/2017, Cuyahoga",8.6,36
"02/06/2017, Cuyahoga",19.9,67
"02/07/2017, Cuyahoga",9.4,39
"02/08/2017, Cuyahoga",2.8,12
